,y,Advt_12M_Usd,Asset_Turnover,Bb_Yld,Bv,Capex_Ps_Cf,Cash_Per_Share,Cf_Sales,Debtequity,Div_Yld,Eps,Mkt_Cap_12M_Usd,Mom_11M_Usd,Pb,Pe,Roe,Share_Turn_12M,Vol1Y_Usd
192960,1,1.008203063708266,0.20217997415850733,0.4660234376615997,0.6379077132946657,-0.2921383083857693,1.1192103546981966,0.366583893874601,-0.9219347182970984,-1.573514736785533,0.8331107719369676,0.7022815676967555,-0.6081511525461374,0.2882006272636521,-0.8543514216614344,0.8513719053453503,1.4777767751629174,0.8386439842126855
138936,1,-0.4461007782706359,-0.1460459544644823,-0.499049616241971,-0.01837594235827699,-0.9576492981859624,-0.2917872495758464,-0.12899108818838667,-1.3065651708546488,-1.1552455504240908,-0.7660970126840196,-0.7213372260877136,0.9967730912949926,-1.543142793814613,-0.3301566122257726,-1.1628982154690566,0.6807486512841678,0.7347335266953668
144049,1,0.3849299885744507,1.1772125743028776,0.9830268593956554,0.05070654771045386,0.6886147292145149,0.1667869718132177,-0.8369553482783693,-0.8520019087411802,-0.3187071777012072,0.5897530655816001,0.2161678332337664,-0.9919373847690164,0.46429134082887,-0.5922540169436034,0.8513719053453503,1.131242808259113,0.8040071650402459
268123,1,1.1467081915157802,-1.4344818903695438,-0.2577813527660784,1.570521329222531,-0.9926761923859724,-1.279485572567676,1.5701231360275714,-1.3065651708546488,1.493792629865042,1.145999251536726,1.3967297597867407,0.6129868590721137,-0.7331255114146111,0.5684630610925052,-0.7388413479291814,-0.9826143898540916,-1.4127492619958812
92596,0,-0.09983795875184984,0.0977121955716104,1.5344971759119812,-0.5710358629081232,-1.377972028586084,0.4489864926680261,1.2869374319915785,-1.5862964090783218,-1.190101315954211,-0.2098508267288937,-0.1310562628112262,0.6478765165469206,0.8869090533853927,0.2314806835981512,0.9573861222303192,0.36886808107074426,0.4576389733158511
265482,1,1.423718447130809,0.20217997415850733,0.5004903324438701,1.5359800841881657,1.5993139784147792,-1.5616850934224848,-0.8369553482783693,1.315915187492285,1.5983599264554018,-1.3571085852613414,1.3967297597867407,-1.2710546445674735,-0.9796525104059158,0.00682576526858161,-1.2335743600590356,0.9579758248072112,1.2542858142819593
74254,1,-0.7577373158375432,-0.11122336160218352,1.7068316498233331,-0.8128245781486809,0.618560940814495,0.6959110734159835,0.366583893874601,1.2110159731584076,-0.5626975364120482,0.4159261324706231,-0.37411313004272095,1.310780008568257,0.9925634815245234,0.2689231699864124,0.9220480499353296,-0.9826143898540916,-0.9624706127541679
94588,1,-1.2425052631638438,-1.6085948546810385,-1.6709240388391635,-0.5710358629081232,-1.3079182401860638,-0.6445366506443571,1.0391499409600846,0.9662511397126938,0.34355236737107603,-0.8703931725506059,-1.1032837317372053,0.6827661740217278,-0.9796525104059158,0.00682576526858161,-0.7035032756341918,-1.0519211832348525,-0.9278337935817283
181908,0,0.6619402441894795,1.7343740600996607,-1.5330564597100824,0.499742733157204,0.3733726814144237,-1.173660752247123,-1.5095213953638529,-0.7471026944073028,-1.3992359091349325,-0.6618008528174336,0.5981143388832582,-1.2710546445674735,0.46429134082887,0.7556754930338129,0.109272387150569,0.7500554446649287,0.6308230691780483
59892,1,-0.6192321880300289,0.7245188670929913,-1.3951888805810009,-0.985530803320508,0.19823821041437314,0.4842614327748772,-0.41217679222437975,0.022158210707797672,-0.492986005351808,0.03350687962647396,-0.6171699972742157,0.2292006268492345,0.8516909106723491,1.092657870528167,0.4979911823954545,0.09164090754770116,-1.031744251099047
153126,1,-0.6538584699819076,-1.3300141117826467,-0.4301158266774302,0.15433028281355013,0.0231037394143222,0.02568721138581329,1.7471142010500669,0.3368558537094296,1.6332156919855223,-0.7313316260618244,-0.40883553964722025,0.9618834338201854,-1.3318339375363517,0.6433480338690284,-1.1628982154690566,-0.428160042808005,-1.1356547086163653
275758,0,1.3890921651789303,-1.6434174475433372,-1.4985895649278116,1.6741450643256273,-0.43224588518580986,-0.7503614709649101,1.0037517279555854,1.0711503540465712,-0.005005287930125619,0.6940492254481859,1.4661745789957394,-0.294144235272873,-1.1909613666841774,-1.266218771932312,-0.38546062497928535,-0.7053872163310483,-0.7200128785470915
23248,1,-1.0347475714525722,1.3513255386143723,-0.11991377363699693,-1.4000257437328931,-0.8875955097859419,-0.5034368902169528,-1.4741231823593537,0.7214863062669798,-1.3643801436048122,-1.530935518372318,-0.8949492741102097,-0.8523787548697876,1.0629997669506106,0.00682576526858161,-1.5516170107139418,-0.8440008030925699,1.0464648992473224
176148,0,-0.4461007782706359,0.16735738129620836,-0.6024503005887821,0.4306602430884731,0.5134802582144644,1.5425096359804094,-0.5537696442423762,-0.15267381318199785,-0.28385141217108695,1.2155300247811167,-0.1657786724157255,0.892104118870571,-0.9444343676928724,-1.1913337991557886,-0.1734321912093478,-0.428160042808005,-0.1311869526156203
40546,0,-1.3117578270676011,-0.5987396616743687,-0.8092516692824043,-1.1927782735267003,1.1789912480146574,-0.2917872495758464,1.5347249230230726,0.7214863062669798,1.14523497456384,0.6592838388259905,-1.0338389125282068,-0.7477097824453662,0.1473280564114781,-0.8169089352731728,0.7453576884603814,-1.3984551501386564,0.5615494308331697
109498,1,-0.6884847519337861,0.20217997415850733,0.052420700274355116,-0.3637883927019309,-0.9226224039859522,1.2603101151256006,-1.1201410523143625,-0.6072370752954663,-0.14442835005060622,0.7635799986925768,-0.9296716837147088,1.3456696660430645,-1.296615794823308,0.3812506291511972,-1.0568839985840877,0.6114418579034073,0.9771912609024436
137087,1,-0.3075956504631215,-0.32015891877597724,0.8106923854843033,-0.052917187392642416,-0.9226224039859522,-0.7503614709649101,1.0391499409600846,-1.411464385188526,-0.7021205985325291,-1.3223431986391458,0.14672301402476784,0.3687592567484633,0.2529824845506085,0.8305604658103358,0.21528660403553787,-0.601427026259907,-0.1311869526156203
1255,1,-0.7923635977894219,-0.006755583015286567,-0.36118203711288943,-1.676355704007816,-0.11700383738571835,-0.2917872495758464,-1.5803178213728508,0.022158210707797672,-0.9461109572433702,-0.696566239439629,-0.6518924068787151,0.9269937763453782,0.006455485559303724,1.5045252207990445,0.0032581702656001217,-0.8440008030925699,-1.1010178894439258
